time_s,ecg_mv
0.000,0.0005
0.004,-0.0078
0.008,-0.0256
0.012,-0.0074
0.016,-0.0159
0.020,0.0086
0.024,0.0252
0.028,0.0245
0.032,-0.0044
0.036,-0.0028
0.040,0.0114
0.044,0.0162
0.048,-0.0013
0.052,0.0024
0.056,0.0309
0.060,0.0034
0.064,-0.0008
0.068,0.0068
0.072,0.0126
0.076,-0.0063
0.080,0.0033
0.084,-0.0074
0.088,0.0036
0.092,0.0297
0.096,0.0164
0.100,0.0067
0.104,-0.0031
0.108,0.0047
0.112,0.0214
0.116,0.0023
0.120,0.0268
0.124,-0.0067
0.128,0.0066
0.132,0.0315
0.136,-0.0131
0.140,0.0259
0.144,-0.0098
0.148,0.0123
0.152,0.0127
0.156,0.0266
0.160,-0.0187
0.164,-0.0005
0.168,0.0200
0.172,0.0328
0.176,0.0284
0.180,0.0447
0.184,0.0426
0.188,0.0626
0.192,0.0688
0.196,0.0938
0.200,0.1096
0.204,0.1307
0.208,0.1151
0.212,0.1265
0.216,0.1357
0.220,0.1334
0.224,0.1351
0.228,0.1128
0.232,0.1292
0.236,0.1049
0.240,0.0941
0.244,0.0753
0.248,0.0970
0.252,0.0705
0.256,0.0759
0.260,0.0565
0.264,0.0252
0.268,0.0264
0.272,0.0436
0.276,0.0216
0.280,0.0149
0.284,0.0240
0.288,0.0227
0.292,0.0119
0.296,0.0197
0.300,0.0177
0.304,-0.0077
0.308,0.0295
0.312,0.0139
0.316,0.0395
0.320,0.0103
0.324,0.0054
0.328,0.0387
0.332,0.0053
0.336,0.0155
0.340,0.0265
0.344,0.0064
0.348,-0.0268
0.352,-0.0312
0.356,-0.0678
0.360,-0.0769
0.364,-0.0924
0.368,-0.0372
0.372,-0.0262
0.376,0.1068
0.380,0.2566
0.384,0.4919
0.388,0.7259
0.392,0.9545
0.396,1.1044
0.400,1.1641
0.404,1.0778
0.408,0.9374
0.412,0.6682
0.416,0.3888
0.420,0.1632
0.424,-0.0199
0.428,-0.1274
0.432,-0.2011
0.436,-0.1795
0.440,-0.1266
0.444,-0.0733
0.448,-0.0211
0.452,-0.0129
0.456,0.0195
0.460,0.0540
0.464,0.0403
0.468,0.0444
0.472,0.0348
0.476,0.0451
0.480,0.0584
0.484,0.0391
0.488,0.0537
0.492,0.0300
0.496,0.0494
0.500,0.0553
0.504,0.0381
0.508,0.0634
0.512,0.0459
0.516,0.0487
0.520,0.0635
0.524,0.0927
0.528,0.0802
0.532,0.0956
0.536,0.0846
0.540,0.1043
0.544,0.1005
0.548,0.1200
0.552,0.1503
0.556,0.1543
0.560,0.1875
0.564,0.1838
0.568,0.2007
0.572,0.2356
0.576,0.2299
0.580,0.2368
0.584,0.2877
0.588,0.2934
0.592,0.2778
0.596,0.3184
0.600,0.3255
0.604,0.3620
0.608,0.3409
0.612,0.3490
0.616,0.3490
0.620,0.3487
0.624,0.3519
0.628,0.3395
0.632,0.3383
0.636,0.3232
0.640,0.3142
0.644,0.3012
0.648,0.3000
0.652,0.2830
0.656,0.2605
0.660,0.2643
0.664,0.2410
0.668,0.2193
0.672,0.2021
0.676,0.2103
0.680,0.1782
0.684,0.1661
0.688,0.1152
0.692,0.1254
0.696,0.0952
0.700,0.1053
0.704,0.1052
0.708,0.0840
0.712,0.0908
0.716,0.0657
0.720,0.0792
0.724,0.0489
0.728,0.0603
0.732,0.0651
0.736,0.0637
0.740,0.0535
0.744,0.0765
0.748,0.0468
0.752,0.0452
0.756,0.0166
0.760,0.0702
0.764,0.0441
0.768,0.0340
0.772,0.0637
0.776,0.0625
0.780,0.0489
0.784,0.0303
0.788,0.0526
0.792,0.0401
0.796,0.0336
0.800,0.0602
0.804,0.0221
0.808,0.0546
0.812,0.0534
0.816,0.0726
0.820,0.0519
0.824,0.0234
0.828,0.0382
0.832,0.0490
0.836,0.0526
0.840,0.0602
0.844,0.0250
0.848,0.0446
0.852,0.0603
0.856,0.0673
0.860,0.0711
0.864,0.0442
0.868,0.0621
0.872,0.0695
0.876,0.0634
0.880,0.0578
0.884,0.0591
0.888,0.0398
0.892,0.0319
0.896,0.0611
0.900,0.0452
0.904,0.0491
0.908,0.0426
0.912,0.0449
0.916,0.0525
0.920,0.0376
0.924,0.0508
0.928,0.0533
0.932,0.0499
0.936,0.0426
0.940,0.0619
0.944,0.0765
0.948,0.0489
0.952,0.0738
0.956,0.0735
0.960,0.0359
0.964,0.0649
0.968,0.0740
0.972,0.1000
0.976,0.1030
0.980,0.1175
0.984,0.1310
0.988,0.1241
0.992,0.1368
0.996,0.1406
1.000,0.1608
1.004,0.1664
1.008,0.1720
1.012,0.1603
1.016,0.1760
1.020,0.1695
1.024,0.1682
1.028,0.1478
1.032,0.1301
1.036,0.1243
1.040,0.1122
1.044,0.0865
1.048,0.1004
1.052,0.0974
1.056,0.0937
1.060,0.0649
1.064,0.0641
1.068,0.0620
1.072,0.0546
1.076,0.0603
1.080,0.0502
1.084,0.0485
1.088,0.0714
1.092,0.0519
1.096,0.0505
1.100,0.0601
1.104,0.0512
1.108,0.0528
1.112,0.0485
1.116,0.0344
1.120,0.0483
1.124,0.0338
1.128,0.0465
1.132,0.0217
1.136,0.0311
1.140,0.0039
1.144,-0.0336
1.148,-0.0674
1.152,-0.0737
1.156,-0.0841
1.160,-0.0153
1.164,0.0998
1.168,0.2581
1.172,0.4531
1.176,0.6761
1.180,0.9244
1.184,1.1015
1.188,1.1772
1.192,1.1481
1.196,0.9756
1.200,0.7467
1.204,0.4687
1.208,0.2206
1.212,0.0214
1.216,-0.1173
1.220,-0.1736
1.224,-0.1785
1.228,-0.0890
1.232,-0.0858
1.236,-0.0287
1.240,0.0037
1.244,0.0254
1.248,0.0324
1.252,0.0218
1.256,0.0342
1.260,0.0303
1.264,0.0460
1.268,0.0398
1.272,0.0404
1.276,0.0521
1.280,0.0436
1.284,0.0631
1.288,0.0491
1.292,0.0586
1.296,0.0426
1.300,0.0697
1.304,0.0608
1.308,0.0752
1.312,0.0797
1.316,0.0801
1.320,0.0921
1.324,0.0933
1.328,0.1235
1.332,0.1292
1.336,0.1355
1.340,0.1284
1.344,0.1432
1.348,0.1633
1.352,0.1840
1.356,0.2086
1.360,0.2093
1.364,0.2512
1.368,0.2541
1.372,0.2467
1.376,0.2812
1.380,0.2711
1.384,0.3071
1.388,0.3220
1.392,0.3320
1.396,0.3441
1.400,0.3497
1.404,0.3513
1.408,0.3781
1.412,0.3737
1.416,0.3419
1.420,0.3648
1.424,0.3221
1.428,0.3215
1.432,0.3373
1.436,0.2784
1.440,0.2970
1.444,0.2589
1.448,0.2553
1.452,0.2375
1.456,0.2426
1.460,0.1952
1.464,0.1872
1.468,0.1792
1.472,0.1531
1.476,0.1317
1.480,0.1272
1.484,0.1165
1.488,0.1146
1.492,0.0824
1.496,0.0791
1.500,0.0802
1.504,0.0672
1.508,0.0608
1.512,0.0575
1.516,0.0448
1.520,0.0397
1.524,0.0514
1.528,0.0302
1.532,0.0551
1.536,0.0418
1.540,0.0223
1.544,0.0397
1.548,0.0373
1.552,0.0435
1.556,0.0475
1.560,0.0286
1.564,0.0240
1.568,0.0247
1.572,0.0198
1.576,0.0223
1.580,0.0343
1.584,0.0307
1.588,0.0244
1.592,0.0211
1.596,0.0339
1.600,0.0234
1.604,0.0167
1.608,0.0271
1.612,0.0255
1.616,0.0155
1.620,0.0380
1.624,0.0380
1.628,0.0281
1.632,0.0289
1.636,0.0334
1.640,0.0264
1.644,0.0372
1.648,0.0461
1.652,0.0270
1.656,0.0310
1.660,0.0359
1.664,0.0211
1.668,0.0114
1.672,0.0355
1.676,0.0055
1.680,0.0456
1.684,0.0343
1.688,0.0258
1.692,0.0239
1.696,0.0440
1.700,0.0113
1.704,0.0085
1.708,0.0150
1.712,0.0187
1.716,0.0095
1.720,0.0231
1.724,0.0226
1.728,0.0110
1.732,0.0397
1.736,0.0034
1.740,0.0045
1.744,0.0241
1.748,0.0168
1.752,0.0240
1.756,0.0113
1.760,0.0060
1.764,0.0104
1.768,0.0096
1.772,0.0238
1.776,0.0115
1.780,0.0261
1.784,0.0237
1.788,0.0288
1.792,0.0269
1.796,0.0252
1.800,0.0247
1.804,0.0090
1.808,0.0117
1.812,-0.0074
1.816,0.0178
1.820,0.0059
1.824,0.0185
1.828,0.0198
1.832,-0.0030
1.836,0.0009
1.840,0.0088
1.844,0.0069
1.848,0.0154
1.852,0.0001
1.856,0.0155
1.860,-0.0038
1.864,-0.0070
1.868,0.0306
1.872,0.0107
1.876,0.0252
1.880,0.0218
1.884,0.0302
1.888,0.0518
1.892,0.0622
1.896,0.0901
1.900,0.0950
1.904,0.0973
1.908,0.1191
1.912,0.1313
1.916,0.1282
1.920,0.1210
1.924,0.1378
1.928,0.1433
1.932,0.1238
1.936,0.1286
1.940,0.1081
1.944,0.0957
1.948,0.0606
1.952,0.0485
1.956,0.0502
1.960,0.0207
1.964,0.0248
1.968,0.0348
1.972,0.0103
1.976,0.0198
1.980,-0.0066
1.984,0.0008
1.988,0.0169
1.992,0.0055
1.996,0.0053
2.000,0.0214
2.004,0.0158
2.008,-0.0108
2.012,0.0151
2.016,-0.0085
2.020,-0.0017
2.024,-0.0017
2.028,0.0106
2.032,-0.0164
2.036,0.0014
2.040,-0.0006
2.044,-0.0039
2.048,-0.0297
2.052,-0.0380
2.056,-0.0895
2.060,-0.0987
2.064,-0.1272
2.068,-0.1400
2.072,-0.0720
