date,resting_hr,hrv_ms,sleep_hours,steps,spo2_pct
2026-07-20,71,30,5.9,5420,97
2026-07-21,71,35,5.6,4236,96
2026-07-22,69,36,6.3,6855,96
2026-07-23,68,35,7.5,5157,96
2026-07-24,66,37,6.0,5998,95
2026-07-25,70,29,5.9,7330,95
2026-07-26,67,35,5.7,7887,98
2026-07-27,64,29,7.0,3169,96
2026-07-28,68,38,6.2,5731,96
2026-07-29,70,33,6.6,4684,97
2026-07-30,67,35,5.7,7083,98
2026-07-31,68,39,7.0,7365,97
2026-08-01,68,39,6.4,3986,97
2026-08-02,63,36,6.7,8009,97
2026-08-03,69,36,5.7,3289,96
2026-08-04,64,39,6.3,6901,97
2026-08-05,69,41,5.9,5426,96
2026-08-06,64,39,7.2,5953,96
2026-08-07,69,27,6.5,6267,96
2026-08-08,69,41,6.2,5898,96
2026-08-09,66,32,7.4,7950,97
2026-08-10,64,45,7.8,6483,96
2026-08-11,65,39,5.8,6128,97
2026-08-12,63,45,7.5,4008,95
2026-08-13,66,33,6.2,1633,96
2026-08-14,70,33,6.2,3643,97
2026-08-15,66,46,6.5,5700,97
2026-08-16,65,33,6.6,6100,97
2026-08-17,67,36,6.7,9587,96
2026-08-18,69,37,5.9,10873,97
2026-08-19,69,42,5.2,6767,96
2026-08-20,63,32,6.5,7657,97
2026-08-21,65,36,5.7,5640,96
2026-08-22,65,39,5.8,6267,96
2026-08-23,66,41,6.5,7579,95
2026-08-24,65,40,6.8,3898,97
2026-08-25,68,39,6.3,7630,97
2026-08-26,67,40,6.5,5456,96
2026-08-27,68,39,6.3,6025,97
2026-08-28,64,43,5.7,5050,97
2026-08-29,65,41,7.1,6257,97
2026-08-30,63,45,6.8,8010,97
2026-08-31,63,39,6.8,7055,97
2026-09-01,62,41,5.9,5184,96
2026-09-02,61,43,7.0,7083,96
2026-09-03,63,40,4.7,7549,97
2026-09-04,64,39,6.5,7901,97
2026-09-05,65,38,6.1,7642,98
2026-09-06,64,37,5.8,3586,97
2026-09-07,62,36,5.0,5392,97
2026-09-08,62,35,6.5,6835,97
2026-09-09,66,42,5.5,7272,97
2026-09-10,63,36,7.2,6792,96
2026-09-11,64,46,6.6,6985,97
2026-09-12,69,48,6.9,5609,100
2026-09-13,62,41,5.9,10603,97
2026-09-14,61,43,6.8,7146,95
2026-09-15,63,41,6.4,6829,97
2026-09-16,62,36,5.9,10238,96
2026-09-17,69,45,5.6,6353,97
